address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
3200_1_Ab_shuttle_11-24-2025_17-17-12,3200,963734,5,5.880972,4,25.209873475134373,0.8416921757161617,4.286684727121315
5000_2_Ab_shuttle_11-24-2025_17-22-47,5000,2777006,5,17.768383,4,77.02164695225656,2.344936318695545,4.33475828486897
7200_6_Ab_shuttle_11-24-2025_17-26-19,7200,6417057,5,39.796241,4,194.0107100326568,5.277166455984116,4.875101334259778
9800_13_Ab_shuttle_11-24-2025_17-32-05,9800,0,5,88.317095,5,518.2009640038013,11.081045858561993,5.867504625990414
