address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
3200_1_Ab_shuttle_11-24-2025_17-17-12,3200,963734,5,5.935255,4,24.422447124496102,0.8471460752189159,4.114809812460025
5000_2_Ab_shuttle_11-24-2025_17-22-47,5000,2777006,5,17.394795,4,74.66740375198424,2.467465301975608,4.292514228358211
7200_6_Ab_shuttle_11-24-2025_17-26-19,7200,6417057,5,40.265982,3,152.80245462432504,5.731206025928259,3.7948274853317963
9800_13_Ab_shuttle_11-24-2025_17-32-05,9800,0,5,88.281626,3,340.2144547048956,11.080440377816558,3.853740239790091
