Qualitative_time_sec,145.14032489999954
mean_L_list,"[0.39332827658092845, 0.4242738065736778, 0.4383097861640948, 0.44574150692140707, 0.4498445410476869, 0.452160220372492, 0.45348991908082575, 0.4542511974384509, 0.454680483007389, 0.45491984287993487, 0.4550524114666064, 0.4551256191892501, 0.45516593908362113, 0.45518809766415946, 0.4552002482490607, 0.45520689095276173, 0.45521051455956835, 0.45521248723943886, 0.4552135594357906, 0.45521414154660217, 0.4552144573251269, 0.4552146285249851, 0.45521472130117063, 0.45521477156261936]"
mean_U_list,"[0.6420766918294842, 0.6301902319747295, 0.6190242815688322, 0.6082589128512281, 0.5977614527888155, 0.587509056309531, 0.5774847800585904, 0.5676764756552226, 0.5581145621105634, 0.5487838475884177, 0.5396403072859012, 0.5306733417174543, 0.5219037403649421, 0.5133198043677742, 0.5049168028452967, 0.49672902271341196, 0.48880832118469847, 0.48114704689312, 0.47387477167964626, 0.4672804865978856, 0.4622197831589441, 0.45855585354636613, 0.45621495647250626, 0.45494008664278235]"
