,0
Qualitative_time_sec,3.1523396000011417
mean_L_list,"[0.5409948288313061, 0.5756642765681284, 0.588173064559258, 0.5929467017892919, 0.5948923279986238, 0.5957138250485484, 0.5960697588091397, 0.5962259856362191, 0.596294350273402, 0.5963243063277097, 0.596337440323426, 0.5963431966935807, 0.5963457177029181, 0.5963468201866571, 0.5963473019114413, 0.596347512299579, 0.5963476041468879, 0.5963476442282437, 0.5963476617139426, 0.5963476693399196, 0.5963476726646059, 0.5963476741136997, 0.5963476747451678, 0.5963476750202914, 0.5963476751401405, 0.5963476751923418, 0.5963476752150757, 0.5963476752249754, 0.596347675229286, 0.5963476752311628]"
mean_U_list,"[0.7744947550926252, 0.7650858447972468, 0.7567699644886718, 0.7487740124318129, 0.7409403333257896, 0.7332210134842847, 0.7256117845463818, 0.7180927938388754, 0.7106604972221573, 0.7033375909437566, 0.696120914567827, 0.6890112221412705, 0.6820466873489767, 0.6751818391976574, 0.6684137743607832, 0.661753010753629, 0.6551938238775595, 0.6487480586581307, 0.6424196290515641, 0.6362049833704817, 0.6301240339468716, 0.6241705544685932, 0.618479264743252, 0.6131708597343271, 0.6081463529530566, 0.6035839014248312, 0.5998809368937953, 0.5974187095277393, 0.5960682794423988, 0.5953669170479294]"
