,0
Exported States (PRISM),2919
Transitions,24714943
Qualitative_time_sec,9.52209572866559
mean_L_list,"[0.0, 0.24665519532032787, 0.45790978088402284, 0.5641783410049753, 0.6072224096257828, 0.6277611567539305, 0.639850104920897, 0.6476320014648761, 0.6527726347978396, 0.656212645707716, 0.658551500826592, 0.6601452708318966, 0.6612232879414438, 0.6619477357247731, 0.6624330393415363, 0.6627574662783872, 0.66297422188239, 0.6631189183858595]"
mean_U_list,"[0.7335390946502057, 0.6943692651927643, 0.6878545785270354, 0.6830230384512076, 0.6785579161528403, 0.67452979237278, 0.6710612914276822, 0.6684331711269912, 0.6666442284786485, 0.6654306541686644, 0.6645966136368636, 0.6640266952423782, 0.6636448883845163, 0.6633936299789944, 0.6632300102958985, 0.6631240312326092, 0.6630556175721557, 0.6630115231223659]"
