,0
Qualitative_time_sec,18.084115200000042
mean_L_list,"[0.0, 0.4055185979478629, 0.40862463884278327, 0.4086246485364087, 0.4086246485364087, 0.4086246485364087]"
mean_U_list,"[0.4464, 0.4269247699108546, 0.42225949991132067, 0.41765497616089825, 0.41310588938564957, 0.40861140219157643]"
