,0
Exported States (PRISM),7200
Transitions,6417057
Qualitative_time_sec,5.344022078439593
mean_L_list,"[0.0, 0.40513276359062456, 0.4287301586268319, 0.42873907605306155, 0.42873907619470886, 0.42873907619470886]"
mean_U_list,"[0.4411111111111111, 0.4305573530793439, 0.42983596454209094, 0.42914965884031053, 0.42870873828221795, 0.42859708086668796]"
