,0
Exported States (PRISM),2919
Transitions,24714943
Qualitative_time_sec,3.59187438711524
mean_L_list,"[0.0, 0.14199204509901228, 0.35896790461141004, 0.5134600563166929, 0.5846642855771067, 0.6159906922973, 0.6326654545381912, 0.6429459865886578, 0.6496504443940306, 0.6541173348843558, 0.6571267201894371, 0.65917946521747, 0.6605757385745258, 0.6615175146037442, 0.6621484363205322, 0.6625697080490253, 0.6628505383058012, 0.6630375236004246]"
mean_U_list,"[0.7335390946502057, 0.6938157190266482, 0.6874935165100902, 0.6825931337239992, 0.678097355147913, 0.6740540465520231, 0.6706662121443386, 0.6681643191719705, 0.6664537713469321, 0.6652780187707875, 0.6644701200979628, 0.6639217255412211, 0.6635555790891176, 0.663314098031299, 0.6631565307517988, 0.6630543836378764, 0.6629884315839323, 0.6629459302931983]"
