,0
Exported States (PRISM),2025
Transitions,8926753
Qualitative_time_sec,3.8505700454115868
mean_L_list,"[0.0, 0.8131071198330672, 0.9213911129314659, 0.9511117676558076, 0.9649208799338652, 0.9715608642224827, 0.9744493177727438, 0.9756786326262338, 0.9762072768421062, 0.9764345034555344, 0.9765318784587629]"
mean_U_list,"[1.0, 0.9811269014155409, 0.9782303148005353, 0.9771012182103591, 0.9766596099646369, 0.9764819519752241, 0.9764087593487416, 0.9763783067934952, 0.9763655689818161, 0.9763602224964275, 0.9763579684470292]"
