,0
Exported States (PRISM),5000
Transitions,2777006
Qualitative_time_sec,2.344936318695545
mean_L_list,"[0.0, 0.37911993976605485, 0.4229942614531929, 0.42301422264205985, 0.42301427098175204, 0.42301427098175204]"
mean_U_list,"[0.4388, 0.424816898487492, 0.42410733910535725, 0.42343358069979986, 0.4229902330425728, 0.42287420015200605]"
