,0
Qualitative_time_sec,1.5265036999990116
mean_L_list,"[0.44907017142559913, 0.4671493861569265, 0.4721813377003833, 0.4737559554313136, 0.47424904479641883, 0.4744028192574007, 0.4744498873948432, 0.47446402434779367, 0.4744682118640826, 0.47446944065408464, 0.47446979901663433]"
mean_U_list,"[0.5778862360707177, 0.5594598160769102, 0.5434562973980286, 0.5285443815412718, 0.5143969548983642, 0.5011621328026992, 0.4895448886718935, 0.4805559957265781, 0.4759090872029084, 0.47421658251411086, 0.47369920278667277]"
