,0
Exported States (PRISM),2160
Transitions,8988796
Qualitative_time_sec,2.646480092778802
mean_L_list,"[0.05555555555555555, 0.17048474461242472, 0.3858455539967776, 0.5257194709264152, 0.5896541030406626, 0.6157932938713062, 0.6273092639705646, 0.6329979464502045, 0.6360271863614277, 0.6376890943005827, 0.6385853519606408, 0.6390663029577749, 0.639333045150808, 0.6394834569403965]"
mean_U_list,"[0.7078703703703704, 0.6630114616188872, 0.6544366301739479, 0.6488973695199961, 0.6449155146802782, 0.6423707966778593, 0.6409508630710575, 0.6401808086737308, 0.6397683175300501, 0.6395469328573321, 0.639428028755251, 0.6393642545848174, 0.6393300178770744, 0.6393116390721638]"
