,0
Exported States (PRISM),2025
Transitions,8926753
Qualitative_time_sec,2.826342713087797
mean_L_list,"[0.04938271604938271, 0.17604111854597287, 0.3857956542209674, 0.502123231040954, 0.5442326218843074, 0.5613491922037387, 0.5712933034211928, 0.5781571016308301, 0.5831191207904067, 0.586776710681486, 0.5895613184560959, 0.591668304094647, 0.593168788051233, 0.5942133846844899, 0.5949348248890061, 0.5954318920863915, 0.5957742008239685, 0.5960100156363266, 0.5961722312014918, 0.5962837775957022, 0.5963604602630816, 0.5964131914549688, 0.5964494473188372]"
mean_U_list,"[0.7318518518518519, 0.6816022799673236, 0.669709340809677, 0.6608129817721291, 0.6524776427393937, 0.6444943135688668, 0.6368729289712943, 0.6296501226096772, 0.6228649600787389, 0.6166855711585576, 0.611456124557767, 0.6073381698374576, 0.6041603456890643, 0.601770586509078, 0.6000185661176557, 0.5987575891800659, 0.5978748891890034, 0.5972721675345979, 0.5968631831397577, 0.5965856365079345, 0.5963981438749769, 0.596272271105364, 0.5961880997013322]"
