,0
Exported States (PRISM),2304
Transitions,11735907
Qualitative_time_sec,5.399581445381045
mean_L_list,"[0.0, 0.8734106528803374, 0.9733101966899487, 0.9841978995665199, 0.9857429862361927, 0.9861100696729482, 0.986192696434234]"
mean_U_list,"[1.0, 0.9874202839001621, 0.9863630219701089, 0.9861098731472334, 0.9860579293084972, 0.9860482037560605, 0.9860464858211718]"
