,0
Exported States (PRISM),5000
Transitions,2777006
Qualitative_time_sec,2.467465301975608
mean_L_list,"[0.008, 0.4086757209295023, 0.4208996080203414, 0.4209127975283001, 0.42091279845894825, 0.42091279845894825]"
mean_U_list,"[0.4368, 0.4228179426158672, 0.422109032168044, 0.4214312362440701, 0.4209413871736939, 0.42081179798722873]"
