,0
Exported States (PRISM),1800
Transitions,5343919
Qualitative_time_sec,1.6505841184407473
mean_L_list,"[0.05555555555555555, 0.18414138765884974, 0.3864335937716612, 0.493436604266386, 0.5401215495850746, 0.5626706937371347, 0.5755927792060246, 0.5838963534857238, 0.5893072135433426, 0.5928674640094943, 0.5952282430784774, 0.5967943300972748, 0.5978122271118268, 0.5984621077575866, 0.5988745369918336, 0.5991337753545508, 0.5992945928105814, 0.5993936846631921]"
mean_U_list,"[0.7038888888888889, 0.6521105619626457, 0.6378811846642353, 0.6288564918192895, 0.6217057009905438, 0.6156631966800163, 0.6104991779389645, 0.606220952891916, 0.6032042005972368, 0.6013927807869599, 0.6003722351693339, 0.5998169730914846, 0.5995157045903006, 0.599348097547739, 0.5992528925085572, 0.5991984228141778, 0.5991671174464251, 0.5991490644733243]"
