,0
Exported States (PRISM),2919
Transitions,24714943
Qualitative_time_sec,6.997184345498681
mean_L_list,"[0.04938271604938271, 0.15792170518163698, 0.3919551620241764, 0.5568724485477426, 0.6256817130690683, 0.6500602058156097, 0.6605277572022951, 0.6661855444753236, 0.6697125323275249, 0.6719795646572423, 0.6734199902790514, 0.6743203451330569, 0.6748766261473053, 0.6752174584869824, 0.6754253627059168, 0.6755519499220576]"
mean_U_list,"[0.7414266117969822, 0.7020253283989129, 0.6957481852634612, 0.6909910532175328, 0.6866793910961582, 0.6829319193113849, 0.6800542980876999, 0.6781968078666067, 0.6770714165520202, 0.6763735350834328, 0.6759399083256665, 0.6756722008585649, 0.6755085807197109, 0.6754096623856461, 0.6753505019259656, 0.6753152468611652]"
