,0
Exported States (PRISM),1800
Transitions,5343919
Qualitative_time_sec,2.444568956270814
mean_L_list,"[0.0, 0.25280498470893586, 0.41601462104553966, 0.49394274774206215, 0.5309150117179974, 0.5499517156887488, 0.5611794083848262, 0.5683126778423038, 0.5728993275476172, 0.5758822445535832, 0.5778473519605205, 0.5791276053629293, 0.5799427641649748, 0.5804572638970694, 0.5807803934539228, 0.5809802750637807, 0.5811026603305965, 0.5811772292036115]"
mean_U_list,"[0.6933333333333334, 0.6421496669401879, 0.6271549198002581, 0.6169629362185716, 0.6086842971805192, 0.6018120422146513, 0.5960240682473125, 0.5910977488649, 0.587157535524206, 0.5844821328779831, 0.5828978285194851, 0.5820109743113101, 0.5815281359420943, 0.5812653629103184, 0.5811183004946355, 0.5810345858841525, 0.5809866593186432, 0.5809591126430032]"
