,0
Exported States (PRISM),2160
Transitions,8988796
Qualitative_time_sec,4.003895379602909
mean_L_list,"[0.0, 0.8336067431420171, 0.956982328248021, 0.9775304358826288, 0.9811149892097915, 0.9821068650582998, 0.9823967676031111, 0.9824808364772938]"
mean_U_list,"[1.0, 0.984657557845645, 0.9829379815619115, 0.9824882512717658, 0.9823747786602791, 0.9823433053420352, 0.9823341977385799, 0.9823314886437855]"
