,0
Exported States (PRISM),1800
Transitions,5343919
Qualitative_time_sec,2.5959418788552284
mean_L_list,"[0.0, 0.82811083905343, 0.9307812401501676, 0.9597727518134244, 0.9717953430206601, 0.9765132114746732, 0.9782413579497002, 0.9788640144883018, 0.9790941051016687, 0.9791814855154007]"
mean_U_list,"[1.0, 0.9830715383676099, 0.9804239423177024, 0.9794974667635467, 0.9791859104818696, 0.9790775428072345, 0.9790395793331843, 0.9790261129848143, 0.9790212634298053, 0.979019508397912]"
