,0
Exported States (PRISM),2025
Transitions,8926753
Qualitative_time_sec,1.317647384479642
mean_L_list,"[0.04, 0.23984265004193298, 0.417976354157795, 0.4957961719252202, 0.5276572726440341, 0.544374890937072, 0.554842552406735, 0.5620044968803818, 0.5670603974546746, 0.5707680220011973, 0.57359582255508, 0.575736858164939, 0.57725814394483, 0.578317229294094, 0.5790477279918338, 0.579549743257954, 0.5798940843589088, 0.5801298314508946, 0.5802908894440133, 0.5804007989727256, 0.5804757408095845, 0.5805268076815472, 0.5805615891810636]"
mean_U_list,"[0.7224691358024692, 0.6718492781916964, 0.659690018712889, 0.6506818534646343, 0.6423239752932749, 0.6343456219816518, 0.6266976590476742, 0.619415174267861, 0.612565475858252, 0.6061762717112292, 0.6003790427470836, 0.595405373126175, 0.5914042794505969, 0.5882891113620767, 0.5859312720850728, 0.584191828004226, 0.582935368361691, 0.5820475897729153, 0.5814377243165273, 0.5810265709656537, 0.5807496930265559, 0.5805641148130267, 0.5804405056662033]"
