,0
Exported States (PRISM),1600
Transitions,3267982
Qualitative_time_sec,0.550637835636735
mean_L_list,"[0.0, 0.1705302188155454, 0.34735461416648583, 0.4467018763761924, 0.4916761527787206, 0.5140108349177922, 0.5259441374858306, 0.5325700957089262, 0.536309883704903, 0.5384555348454926, 0.539662728538857, 0.540328307838123, 0.5406893073280735, 0.5408834743192772, 0.5409879472601862, 0.5410441992023758]"
mean_U_list,"[0.673125, 0.6134488135241611, 0.5930729153214153, 0.5801809414925302, 0.5703830790535444, 0.562338373028289, 0.5555016159094551, 0.5497111869651787, 0.5454125549623796, 0.542963565129446, 0.541763180668018, 0.5412258003581061, 0.5409914272679001, 0.5408861250203448, 0.5408370428498833, 0.540813346159239]"
