,0
Exported States (PRISM),2160
Transitions,8988796
Qualitative_time_sec,3.732556978240609
mean_L_list,"[0.0, 0.24731236997461253, 0.4365114969874544, 0.5348096599249124, 0.5795676470942079, 0.59991002560416, 0.6094250930393612, 0.614044645527633, 0.6164287012322471, 0.6176870296690884, 0.6183474165811069, 0.6186973962053968, 0.6188928429557727, 0.6190048026529653, 0.6190684145182292]"
mean_U_list,"[0.6981481481481482, 0.6536418589930418, 0.6439351583814651, 0.6368657598632899, 0.6310994447664687, 0.6266764515205786, 0.6236541848857062, 0.6217409303522806, 0.6205660431905592, 0.6198512358473863, 0.6194176398847272, 0.6191595166558913, 0.6190108168985313, 0.6189268617535719, 0.6188800051342283]"
