,0
Exported States (PRISM),3200
Transitions,963734
Qualitative_time_sec,0.8506310656666756
mean_L_list,"[0.0, 0.3561841814747281, 0.42116013031882615, 0.4212875261590919, 0.42128775310856403, 0.4212877532443398]"
mean_U_list,"[0.4325, 0.42323719237667995, 0.42252622051436645, 0.4218447429681656, 0.42133558428427054, 0.4211548840218939]"
