,0
Exported States (PRISM),2430
Transitions,14950777
Qualitative_time_sec,4.002671122550964
mean_L_list,"[0.04938271604938271, 0.17339404721518537, 0.4066263572523922, 0.5536149652290138, 0.6126801843657375, 0.6352589838846463, 0.6452834188847334, 0.6503605717714209, 0.6532416343401897, 0.6549771458042403, 0.6560394569505167, 0.6566906301397953, 0.657087255285108, 0.6573368454815661, 0.6575045738633948, 0.6576233777076177, 0.6577090404220753]"
mean_U_list,"[0.7362139917695473, 0.6933068374417066, 0.6862142042851701, 0.6807395028694049, 0.6756892580719254, 0.6711538385627762, 0.6672980015355279, 0.6642527790515561, 0.6621382790790868, 0.6607316230130184, 0.6597576650421967, 0.6590641751381903, 0.6585685653428237, 0.6582171892106263, 0.6579679596422404, 0.6577905441819438, 0.657664115692241]"
