,0
Exported States (PRISM),3200
Transitions,963734
Qualitative_time_sec,1.4843678120523691
mean_L_list,"[0.01, 0.3543743556618439, 0.4211496084659683, 0.42128756221650243, 0.4212877532077186, 0.42128775324457407]"
mean_U_list,"[0.4325, 0.4232424402584383, 0.4225317095168818, 0.42184810778310255, 0.42133668626475523, 0.42115527191976554]"
