,0
Exported States (PRISM),5000
Transitions,2777006
Qualitative_time_sec,2.371525153517723
mean_L_list,"[0.0, 0.3755543286142953, 0.4208913932849594, 0.4209121198869426, 0.42091279845891694, 0.42091279845894825]"
mean_U_list,"[0.4368, 0.422817098487492, 0.42210753910535725, 0.42142771306155624, 0.42092380279638614, 0.42077087391563484]"
