,0
Exported States (PRISM),2025
Transitions,8926753
Qualitative_time_sec,3.811299839988351
mean_L_list,"[0.0, 0.25699265927663373, 0.4330410597577624, 0.5038217719437053, 0.5321803698426807, 0.5474209290620563, 0.5570443619178789, 0.563637720172505, 0.5682700666426299, 0.5717000778310953, 0.5743151919716166, 0.576253338297639, 0.5776183000660642, 0.5785659659864949, 0.5792190800305269, 0.5796677363682445, 0.5799753736613423, 0.5801857481314313, 0.5803293426383855, 0.5804272382354916, 0.5804939177593057, 0.5805393035467926, 0.5805701793117438, 0.5805911754465528]"
mean_U_list,"[0.7224691358024692, 0.6727579613061342, 0.6607169761052136, 0.6518421161940842, 0.6435502604841646, 0.6356006468100288, 0.627954507483169, 0.6206484973015528, 0.6137661482640926, 0.6073083234587558, 0.6014035883854847, 0.596273798570096, 0.59208365473139, 0.5888021893679501, 0.5863041381252548, 0.5844535461161131, 0.5831138703653567, 0.5821650023307111, 0.5815111915835206, 0.5810708366314926, 0.580775345184892, 0.580577893672084, 0.5804468755756338, 0.5803603868958359]"
