,0
Exported States (PRISM),7200
Transitions,6417057
Qualitative_time_sec,5.522327138110995
mean_L_list,"[0.565, 0.9965045692869164]"
mean_U_list,"[1.0, 0.997699503632649]"
