,0
Exported States (PRISM),5000
Transitions,2777006
Qualitative_time_sec,4.098811071366072
mean_L_list,"[0.01, 0.40260602390989864, 0.4230031400172614, 0.42301420966753794, 0.4230142709817504, 0.42301427098175204]"
mean_U_list,"[0.4388, 0.4248130918830484, 0.42410572691504195, 0.4234322287781607, 0.422990350809376, 0.4228749781927039]"
