,0
Exported States (PRISM),2430
Transitions,14950777
Qualitative_time_sec,6.2933186534792185
mean_L_list,"[0.0, 0.2489821146239286, 0.4459360995825643, 0.5429906664525213, 0.5834408376638129, 0.6028909941535502, 0.6140731109108425, 0.6213590790600985, 0.6264982778778493, 0.6302875267199581, 0.6331231400026721, 0.6352445791805831, 0.6368321999927181, 0.6380229852328484, 0.638916681720421, 0.6395879646759611, 0.6400925579763723, 0.6404720654899138, 0.6407576138496538, 0.6409727112625628, 0.6411349898792831, 0.6412574382488683, 0.6413498702225843]"
mean_U_list,"[0.7275720164609053, 0.6849170571736348, 0.6776667989465942, 0.6720401825138382, 0.6666500867640648, 0.6615504940957088, 0.6568882886858105, 0.6528301159280623, 0.6495596422197064, 0.6471969859555377, 0.6455368950028796, 0.6443413969943683, 0.6434734417943426, 0.6428383835270011, 0.6423718867915783, 0.642028497573315, 0.6417755363371077, 0.6415891519398808, 0.64145188787642, 0.6413508119950262, 0.6412763987861624, 0.6412216541296945, 0.6411813669527555]"
