,0
Qualitative_time_sec,6.971399599999984
mean_L_list,"[0.0, 0.40033717419920456, 0.41128180743798853, 0.4112824214148312, 0.41128242141494165, 0.41128242141494165]"
mean_U_list,"[0.444375, 0.42982948827311335, 0.4250654168935403, 0.42038885223215183, 0.4157800687575268, 0.41124205200661507]"
