,0
Exported States (PRISM),2919
Transitions,24714943
Qualitative_time_sec,11.101236389949918
mean_L_list,"[0.0, 0.8058902053766136, 0.9541678742562942, 0.9775340292976968, 0.9817347903704963, 0.9828683261243195, 0.9831676755227248]"
mean_U_list,"[1.0, 0.9847765712820532, 0.9834898023235618, 0.9831658758956008, 0.9830910531976778, 0.9830747014544267, 0.9830712006656523]"
