,0
Exported States (PRISM),5000
Transitions,2777006
Qualitative_time_sec,6.460760807618499
mean_L_list,"[0.0, 0.4103912110874687, 0.4209074988064968, 0.4209127984119204, 0.42091279845894825, 0.42091279845894825]"
mean_U_list,"[0.4368, 0.42282152217190533, 0.42211512951324415, 0.4214367091802706, 0.42094297687484444, 0.42081119469078954]"
