,0
Exported States (PRISM),5000
Transitions,2777006
Qualitative_time_sec,7.628269527107477
mean_L_list,"[0.0, 0.9961786118377376]"
mean_U_list,"[1.0, 0.9973377414489171]"
