,0
Exported States (PRISM),7200
Transitions,6417057
Qualitative_time_sec,5.731206025928259
mean_L_list,"[0.008333333333333333, 0.4152325345852447, 0.42873182822081457, 0.42873907610536455, 0.42873907619470886, 0.42873907619470886]"
mean_U_list,"[0.4411111111111111, 0.43055820043688037, 0.4298373618707807, 0.42915383364700393, 0.42873277690302386, 0.42863966579122875]"
