,0
Exported States (PRISM),2025
Transitions,8926753
Qualitative_time_sec,1.3484263308346272
mean_L_list,"[0.0, 0.15674972621438205, 0.353714376015859, 0.46831136293904, 0.5154481844070443, 0.5375027934880731, 0.5504410479909447, 0.5589662789934293, 0.5648885906650917, 0.5691467222058586, 0.5723360504441926, 0.5747982827275813, 0.5766031551130547, 0.5778671177515297, 0.5787405896607357, 0.5793408323237451, 0.579752127521335, 0.5800336514138755, 0.580225840054957, 0.5803568617567194, 0.5804460947018022, 0.5805068205762752, 0.5805481226080003]"
mean_U_list,"[0.7224691358024692, 0.6721365126206046, 0.6601984803216204, 0.6511977644547273, 0.6427494632357562, 0.634650769886999, 0.6269089661294034, 0.6195708283064478, 0.6126380704436009, 0.6061504389928919, 0.6002421274709479, 0.5951924747807649, 0.5911664321625778, 0.5880584285280804, 0.5857209324648278, 0.5840055648021844, 0.5827723015045905, 0.5819118448170916, 0.5813278721619924, 0.5809335792360035, 0.5806678639836466, 0.580489855024195, 0.5803714180632887]"
