,0
Exported States (PRISM),3200
Transitions,963734
Qualitative_time_sec,2.0517000071704388
mean_L_list,"[0.0, 0.3967483046944816, 0.41876188912718915, 0.4187814250666365, 0.4187814298299961, 0.41878142983043465]"
mean_U_list,"[0.43, 0.4207711763465626, 0.4200450929521823, 0.4193606662283714, 0.41885385721115803, 0.4186872917689701]"
