,0
Exported States (PRISM),2430
Transitions,14950777
Qualitative_time_sec,6.989846993237734
mean_L_list,"[0.0, 0.8228841339932594, 0.951711346921409, 0.973623301789735, 0.9782635206421404, 0.9798294333670807, 0.9803886524114139, 0.9805845861282739]"
mean_U_list,"[1.0, 0.9830222303657639, 0.9812884676305013, 0.9807362914269444, 0.9805628591947128, 0.9805054997445029, 0.9804858778118991, 0.9804790916352404]"
