,0
Exported States (PRISM),2430
Transitions,14950777
Qualitative_time_sec,2.3849205169826746
mean_L_list,"[0.0, 0.16272801057488098, 0.3778894824188752, 0.5115498485675107, 0.5694065574438439, 0.5955693988404251, 0.6098468161983011, 0.6186222431914579, 0.6245880403110868, 0.6288995104677826, 0.6321007631397483, 0.6344957835152908, 0.6362894599021016, 0.6376320482855173, 0.6386363670609779, 0.6393877244416694, 0.639950036584303, 0.6403709665479822, 0.640686217587309, 0.6409224694925139, 0.6410997289714209, 0.6412330207344082]"
mean_U_list,"[0.7275720164609053, 0.684436879703881, 0.677237070501256, 0.671571179760726, 0.6661686955709437, 0.6610857847380894, 0.656438154385621, 0.6523858982982887, 0.6490858109959917, 0.6467217298991599, 0.6451127477361801, 0.6439856020321474, 0.6431776607818009, 0.6425909223490504, 0.6421635633811564, 0.6418518014819976, 0.6416241721823489, 0.641457963447159, 0.6413366070028801, 0.6412480207717501, 0.641183403523961, 0.641136266492996]"
