,0
Exported States (PRISM),1800
Transitions,5343919
Qualitative_time_sec,5.62696641869843
mean_L_list,"[0.0, 0.6369948438132605, 0.9939610126039241, 0.999904467592088, 0.9999995986753097, 0.9999999995495065, 0.9999999999998135, 1.0, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]"
mean_U_list,"[1.0, 0.9998776210110422, 0.999789723934469, 0.9997696734430354, 0.9997686940727162, 0.9997684673206817, 0.9997683377830577, 0.9997682486212282, 0.9997681853335818, 0.9997681426720536, 0.9997681160441831, 0.9997681007682917, 0.99976809228642, 0.9997680874062028, 0.9997680845544975, 0.999768082889981, 0.9997680819202851, 0.999768081356232]"
