,0
Exported States (PRISM),2304
Transitions,11735907
Qualitative_time_sec,17.921438017860055
mean_L_list,"[0.0, 0.8668397843074171, 0.9415099783129268, 0.9451801906021094]"
mean_U_list,"[0.9474826388888888, 0.9451122753861363, 0.9450740381070005, 0.9450716962963719]"
