,0
Exported States (PRISM),3200
Transitions,963734
Qualitative_time_sec,5.523114064708352
mean_L_list,"[0.0, 0.7425808242816325, 0.9999999997010185, 1.0, 1.0, 1.0]"
mean_U_list,"[1.0, 0.9998997592669965, 0.9998000140188539, 0.9997992376742348, 0.9997992210492486, 0.9997992055633669]"
