,0
Exported States (PRISM),1600
Transitions,3267982
Qualitative_time_sec,5.415368685498834
mean_L_list,"[0.0, 0.8489515825461191, 0.9400179166528266, 0.9463107593312821]"
mean_U_list,"[0.949375, 0.9463814910571041, 0.9463339130053177, 0.9463297576801154]"
