,0
Exported States (PRISM),1024
Transitions,1078716
Qualitative_time_sec,1.270714782178402
mean_L_list,"[0.0, 0.9077629606889761, 0.9973372653464464, 0.9999585724774602, 0.9999998215898733, 0.9999999998068959, 0.9999999999999616, 1.0000000000000004, 1.0000000000000007, 1.0000000000000007, 1.0000000000000007, 1.0000000000000007]"
mean_U_list,"[1.0, 0.999883946375864, 0.9998376091035743, 0.9998331542223688, 0.9998324940379606, 0.9998322872224583, 0.9998322107328587, 0.9998321781910177, 0.9998321638652127, 0.9998321576202243, 0.9998321549061816, 0.9998321537297068]"
