,0
Exported States (PRISM),1225
Transitions,2200049
Qualitative_time_sec,1.4991148188710213
mean_L_list,"[0.0, 0.8828536172736571, 0.993656086709814, 0.9998129701775536]"
mean_U_list,"[1.0, 0.9998908698587108, 0.9998692177580214, 0.9998673349227599]"
