,0
Exported States (PRISM),1225
Transitions,2200049
Qualitative_time_sec,2.4875887259840965
mean_L_list,"[0.0, 0.6485375614575934, 0.9807663187109416, 0.99913979243018, 0.9999853710574721, 0.9999999070929751, 0.9999999996079689, 0.9999999999984865, 0.9999999999999933, 1.0000000000000002, 1.0000000000000004, 1.0000000000000007, 1.0000000000000009, 1.0000000000000009, 1.000000000000001, 1.000000000000001, 1.0000000000000013, 1.0000000000000013, 1.0000000000000013, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016]"
mean_U_list,"[1.0, 0.999874553534379, 0.9997756327616736, 0.999741108524758, 0.9997366765327714, 0.9997360306400063, 0.9997357660568538, 0.9997355325096006, 0.9997353041379863, 0.9997350797220674, 0.9997348597473814, 0.9997346452335979, 0.9997344488802967, 0.9997342783842396, 0.9997341269470552, 0.9997339850114707, 0.9997338466627967, 0.9997337116120316, 0.9997335795458828, 0.9997334563145993, 0.9997333545895488, 0.9997332663016945, 0.9997331848550057, 0.9997331074717869, 0.9997330404016398, 0.9997329914491272, 0.9997329584966914, 0.999732937148944, 0.9997329236141176, 0.9997329151219013, 0.9997329098293879, 0.9997329065451307]"
