,0
Exported States (PRISM),2160
Transitions,8988796
Qualitative_time_sec,14.014555582776666
mean_L_list,"[0.0, 0.8414814072597937, 0.9443720865971811, 0.9515153002026069, 0.9517104934526333]"
mean_U_list,"[0.9541666666666667, 0.9515934944383126, 0.9515472705747495, 0.9515427754744641, 0.9515424955679099]"
