,0
Exported States (PRISM),1800
Transitions,5343919
Qualitative_time_sec,5.162473553791642
mean_L_list,"[0.0, 0.89381977896027, 0.9966307945948042, 0.9999587740073071, 0.9999998955777915, 0.9999999999282357, 0.999999999999974, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]"
mean_U_list,"[1.0, 0.999878015221453, 0.9998308239104609, 0.999826823997116, 0.9998262976863556, 0.9998261153774243, 0.9998260262178967, 0.9998259734626157, 0.999825940336058, 0.9998259193799783, 0.9998259061302496, 0.9998258979300054, 0.9998258929458661, 0.9998258899278384, 0.999825888124379, 0.9998258870614182, 0.9998258864363695, 0.9998258860701903]"
