,0
Exported States (PRISM),2430
Transitions,14950777
Qualitative_time_sec,22.16754336282611
mean_L_list,"[0.0, 0.8534449550986429, 0.9523611971088591, 0.9575557925236948]"
mean_U_list,"[0.9592592592592593, 0.9575215251690484, 0.9574777189643532, 0.9574745882573445]"
