,0
Exported States (PRISM),1296
Transitions,2012134
Qualitative_time_sec,2.2703244108706713
mean_L_list,"[0.0, 0.8887615920040994, 0.9958120983747284, 0.9999203589187117, 0.9999994431294067, 0.9999999986709289, 0.9999999999983925, 0.9999999999999989, 1.0000000000000004, 1.0000000000000007, 1.0000000000000007, 1.0000000000000009, 1.0000000000000009, 1.0000000000000009, 1.0000000000000009, 1.0000000000000009, 1.0000000000000009, 1.0000000000000009]"
mean_U_list,"[1.0, 0.9998790403442983, 0.9998271065532283, 0.9998222308428738, 0.999821876589555, 0.9998218115742519, 0.9998217983514873, 0.9998217979758115, 0.9998217979678957, 0.9998217979675484, 0.9998217979675359, 0.9998217979675355, 0.9998217979675355, 0.9998217979675355, 0.9998217979675355, 0.9998217979675355, 0.9998217979675355, 0.9998217979675355]"
