,0
Exported States (PRISM),5000
Transitions,2777006
Qualitative_time_sec,15.70024131797254
mean_L_list,"[0.0, 0.5676611743312089, 0.9956, 1.0, 1.0, 1.0]"
mean_U_list,"[1.0, 0.9998998508384928, 0.9998000143195681, 0.9997992144795601, 0.9997992144795601, 0.9997992144795601]"
