,0
Exported States (PRISM),1800
Transitions,5343919
Qualitative_time_sec,3.4557246454060078
mean_L_list,"[0.0, 0.9172490590018116, 0.9988379822360481, 0.9999930735952213]"
mean_U_list,"[1.0, 0.9998943742621342, 0.9998799560794781, 0.9998793661105928]"
