,0
Exported States (PRISM),1600
Transitions,3267982
Qualitative_time_sec,3.3025298546999693
mean_L_list,"[0.0, 0.8845725814677015, 0.9956855623154733, 0.9999013742756958, 0.9999992954698648, 0.9999999981003012, 0.9999999999973309, 0.9999999999999969, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]"
mean_U_list,"[1.0, 0.9998800830473856, 0.9998342179787835, 0.9998301616298663, 0.9998296562513596, 0.9998294929837744, 0.9998294170820596, 0.999829375814817, 0.9998293515840375, 0.9998293358036536, 0.9998293251858495, 0.9998293185676187, 0.9998293147358548, 0.9998293126234136, 0.9998293114951234]"
