,0
Exported States (PRISM),1600
Transitions,3267982
Qualitative_time_sec,3.626546934247017
mean_L_list,"[0.0, 0.627500031906047, 0.9917700811084348, 0.9997682345133432, 0.9999973977646447, 0.9999999911366612, 0.9999999999850352, 0.9999999999999823, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]"
mean_U_list,"[1.0, 0.9998785309396296, 0.9997856877953858, 0.9997601000778872, 0.9997580881382502, 0.9997578089878809, 0.999757746827301, 0.9997577182503329, 0.9997577004728944, 0.9997576883769099, 0.9997576802861265, 0.9997576753392066, 0.9997576725270121, 0.9997576709982372, 0.9997576701896317]"
