,0
Exported States (PRISM),1800
Transitions,5343919
Qualitative_time_sec,8.304656434804201
mean_L_list,"[0.0, 0.8583510378327087, 0.9476228846915923, 0.95299947121416, 0.9531159356794524]"
mean_U_list,"[0.955, 0.9529979490094108, 0.9529537762227311, 0.9529498055620113, 0.95294956985424]"
