,0
Exported States (PRISM),7200
Transitions,6417057
Qualitative_time_sec,38.870982902124524
mean_L_list,"[0.0, 0.5677319970810265, 0.9955555555555555, 1.0, 1.0, 1.0]"
mean_U_list,"[1.0, 0.999899903934621, 0.9998000143231816, 0.9997991811565066, 0.9997991811565066, 0.9997991811565066]"
