,0
Exported States (PRISM),784
Transitions,525209
Qualitative_time_sec,0.6915888413786888
mean_L_list,"[0.0, 0.6944666472015454, 0.9860421468698184, 0.9992836666174165, 0.9999744220939035, 0.9999991709546963, 0.9999999738823995, 0.9999999991687262, 0.9999999999720064, 0.9999999999990306, 0.9999999999999661, 0.9999999999999988, 1.0, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]"
mean_U_list,"[1.0, 0.9998797129715538, 0.9997777633545545, 0.9997372179853564, 0.9997315035175515, 0.9997307585977538, 0.999730550197341, 0.9997303875800203, 0.9997302339179733, 0.9997300868520613, 0.9997299682304738, 0.9997299381058039, 0.9997299350046766, 0.999729934805876, 0.9997299347928331, 0.9997299347920545, 0.9997299347920082, 0.9997299347920053, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052, 0.9997299347920052]"
