,0
Exported States (PRISM),1225
Transitions,2200049
Qualitative_time_sec,2.5311213210225105
mean_L_list,"[0.0, 0.8466560415998932, 0.9877865603131181, 0.9995393743548235, 0.9999939323301665, 0.9999999657089537, 0.999999999850804, 0.9999999999993849, 0.9999999999999971, 1.0000000000000002, 1.0000000000000004, 1.0000000000000007, 1.0000000000000009, 1.0000000000000009, 1.000000000000001, 1.000000000000001, 1.0000000000000013, 1.0000000000000013, 1.0000000000000013, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000016, 1.0000000000000018, 1.0000000000000018, 1.0000000000000018, 1.0000000000000018]"
mean_U_list,"[1.0, 0.999874889919145, 0.9998136355780011, 0.9998055863966189, 0.9998049537167087, 0.9998049117017449, 0.9998049092519196, 0.9998049091262946, 0.9998049091206037, 0.9998049091203716, 0.999804909120362, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617, 0.9998049091203617]"
