,0
Exported States (PRISM),1600
Transitions,3267982
Qualitative_time_sec,2.453806797042489
mean_L_list,"[0.0, 0.9154909873385875, 0.9985800103641873, 0.9999820034500313]"
mean_U_list,"[1.0, 0.9998935650530725, 0.9998780440457501, 0.9998774537642015]"
