,0
Exported States (PRISM),1024
Transitions,1078716
Qualitative_time_sec,1.2926322501152754
mean_L_list,"[0.0, 0.6284538113181972, 0.9950356779377982, 0.999911873465603, 0.9999993824771424, 0.999999999346941, 0.9999999999998447, 1.0000000000000004, 1.0000000000000007, 1.0000000000000007, 1.0000000000000007, 1.0000000000000007]"
mean_U_list,"[1.0, 0.9998833595461336, 0.9997899018464865, 0.9997637684530993, 0.9997622014523561, 0.9997620440847388, 0.9997619938402456, 0.9997619742084147, 0.9997619661280747, 0.9997619626492508, 0.9997619611399987, 0.9997619604865753]"
