,0
Exported States (PRISM),2025
Transitions,8926753
Qualitative_time_sec,13.392521519213915
mean_L_list,"[0.0, 0.8716297395556318, 0.954810330024148, 0.9587134393754568]"
mean_U_list,"[0.96, 0.9586391745253581, 0.9585964204554605, 0.9585935812808898]"
