address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
3200_1_Ab_shuttle_11-24-2025_17-17-12,3200,963734,1,3.815472,2,29.051929660141468,6.481910452246666,7.614243654797594
5000_2_Ab_shuttle_11-24-2025_17-22-47,5000,2777006,1,11.229993,1,59.98268638551235,19.002926157787442,5.341293392338349
7200_6_Ab_shuttle_11-24-2025_17-26-19,7200,6417057,1,27.008595,2,216.6406836397946,45.90302402712405,8.021175677245026
9800_13_Ab_shuttle_11-24-2025_17-32-05,9800,0,1,58.743106,1,339.7276346217841,93.95767756737769,5.783276702382434
